server_name,tool_name
github,github_list_issues
github,github_list_pull_requests
github,github_list_tags
github,github_merge_pull_request
github,github_push_files
github,github_search_code
github,github_search_issues
github,github_search_repositories
github,github_search_users
github,github_update_issue
github,github_update_pull_request
github,github_update_pull_request_branch
google-maps,google-maps_maps_directions
google-maps,google-maps_maps_distance_matrix
google-maps,google-maps_maps_elevation
google-maps,google-maps_maps_geocode
google-maps,google-maps_maps_place_details
google-maps,google-maps_maps_reverse_geocode
google-maps,google-maps_maps_search_places
google-workspace,google-workspace_create_event
google-workspace,google-workspace_delete_event
google-workspace,google-workspace_list_emails
google-workspace,google-workspace_list_events
google-workspace,google-workspace_modify_email
google-workspace,google-workspace_search_emails
google-workspace,google-workspace_send_email
google-workspace,google-workspace_update_event
lara-translate,lara-translate_add_translation
lara-translate,lara-translate_check_import_status
lara-translate,lara-translate_create_memory
lara-translate,lara-translate_delete_memory
lara-translate,lara-translate_delete_translation
lara-translate,lara-translate_import_tmx
lara-translate,lara-translate_list_languages
lara-translate,lara-translate_list_memories
lara-translate,lara-translate_translate
lara-translate,lara-translate_update_memory
mcp-code-executor,mcp-code-executor_append_to_code_file
mcp-code-executor,mcp-code-executor_check_installed_packages
mcp-code-executor,mcp-code-executor_configure_environment
mcp-code-executor,mcp-code-executor_execute_code
mcp-code-executor,mcp-code-executor_execute_code_file
mcp-code-executor,mcp-code-executor_get_environment_config
mcp-code-executor,mcp-code-executor_initialize_code_file
mcp-code-executor,mcp-code-executor_install_dependencies
mcp-code-executor,mcp-code-executor_read_code_file
mcp-server-code-runner,mcp-server-code-runner_run-code
memory,memory_add_observations
memory,memory_create_entities
memory,memory_create_relations
memory,memory_delete_entities
memory,memory_delete_observations
memory,memory_delete_relations
memory,memory_open_nodes
memory,memory_read_graph
memory,memory_search_nodes
met-museum,met-museum_get-museum-object
met-museum,met-museum_list-departments
met-museum,met-museum_search-museum-objects
mongodb,mongodb_aggregate
mongodb,mongodb_collection-indexes
mongodb,mongodb_collection-schema
mongodb,mongodb_collection-storage-size
mongodb,mongodb_count
mongodb,mongodb_create-collection
mongodb,mongodb_create-index
mongodb,mongodb_db-stats
mongodb,mongodb_delete-many
mongodb,mongodb_drop-collection
mongodb,mongodb_drop-database
mongodb,mongodb_explain
mongodb,mongodb_find
mongodb,mongodb_insert-many
mongodb,mongodb_list-collections
mongodb,mongodb_list-databases
mongodb,mongodb_mongodb-logs
mongodb,mongodb_rename-collection
mongodb,mongodb_switch-connection
mongodb,mongodb_update-many
national-parks,national-parks_findParks
national-parks,national-parks_getAlerts
national-parks,national-parks_getCampgrounds
national-parks,national-parks_getEvents
national-parks,national-parks_getParkDetails
national-parks,national-parks_getVisitorCenters
notion,notion_API-create-a-comment
notion,notion_API-create-a-database
notion,notion_API-delete-a-block
notion,notion_API-get-block-children
notion,notion_API-get-self
notion,notion_API-get-user
notion,notion_API-get-users
notion,notion_API-patch-block-children
notion,notion_API-patch-page
notion,notion_API-post-database-query
notion,notion_API-post-page
notion,notion_API-post-search
notion,notion_API-retrieve-a-block
notion,notion_API-retrieve-a-comment
notion,notion_API-retrieve-a-database
notion,notion_API-retrieve-a-page
notion,notion_API-retrieve-a-page-property
notion,notion_API-update-a-block
notion,notion_API-update-a-database
open-library,open-library_get_author_info
open-library,open-library_get_author_photo
open-library,open-library_get_authors_by_name
open-library,open-library_get_book_by_id
open-library,open-library_get_book_by_title
open-library,open-library_get_book_cover
osm-mcp-server,osm-mcp-server_analyze_commute
osm-mcp-server,osm-mcp-server_analyze_neighborhood
osm-mcp-server,osm-mcp-server_explore_area
osm-mcp-server,osm-mcp-server_find_ev_charging_stations
osm-mcp-server,osm-mcp-server_find_nearby_places
osm-mcp-server,osm-mcp-server_find_parking_facilities
osm-mcp-server,osm-mcp-server_find_schools_nearby
osm-mcp-server,osm-mcp-server_geocode_address
osm-mcp-server,osm-mcp-server_get_route_directions
osm-mcp-server,osm-mcp-server_reverse_geocode
osm-mcp-server,osm-mcp-server_search_category
osm-mcp-server,osm-mcp-server_suggest_meeting_point
oxylabs,oxylabs_amazon_product_scraper
oxylabs,oxylabs_amazon_search_scraper
oxylabs,oxylabs_google_search_scraper
oxylabs,oxylabs_universal_scraper
pubmed,pubmed_download_pubmed_pdf
pubmed,pubmed_get_pubmed_article_metadata
pubmed,pubmed_search_pubmed_advanced
pubmed,pubmed_search_pubmed_key_words
slack,slack_channels_list
slack,slack_conversations_add_message
slack,slack_conversations_history
slack,slack_conversations_replies
slack,slack_conversations_search_messages
twelvedata,twelvedata_GetApiUsage
twelvedata,twelvedata_GetCommodities
twelvedata,twelvedata_GetCrossListings
twelvedata,twelvedata_GetCryptocurrencies
twelvedata,twelvedata_GetCryptocurrencyExchanges
twelvedata,twelvedata_GetCurrencyConversion
twelvedata,twelvedata_GetDividends
twelvedata,twelvedata_GetEarliestTimestamp
twelvedata,twelvedata_GetEarnings
twelvedata,twelvedata_GetEod
twelvedata,twelvedata_GetEtf
twelvedata,twelvedata_GetExchangeRate
twelvedata,twelvedata_GetExchanges
twelvedata,twelvedata_GetForexPairs
twelvedata,twelvedata_GetFunds
twelvedata,twelvedata_GetIpoCalendar
twelvedata,twelvedata_GetLogo
twelvedata,twelvedata_GetMarketState
twelvedata,twelvedata_GetPrice
twelvedata,twelvedata_GetProfile
twelvedata,twelvedata_GetQuote
twelvedata,twelvedata_GetSplits
twelvedata,twelvedata_GetStatistics
twelvedata,twelvedata_GetStocks
twelvedata,twelvedata_GetSymbolSearch
twelvedata,twelvedata_GetTechnicalIndicators
twelvedata,twelvedata_GetTimeSeries
twelvedata,twelvedata_GetTimeSeriesAdx
twelvedata,twelvedata_GetTimeSeriesAtr
twelvedata,twelvedata_GetTimeSeriesBBands
twelvedata,twelvedata_GetTimeSeriesCross
twelvedata,twelvedata_GetTimeSeriesEma
twelvedata,twelvedata_GetTimeSeriesMacd
twelvedata,twelvedata_GetTimeSeriesRsi
twelvedata,twelvedata_GetTimeSeriesSma
weather,weather_find_weather_stations
weather,weather_get_current_weather
weather,weather_get_hourly_forecast
weather,weather_get_local_time
weather,weather_get_weather_alerts
weather,weather_get_weather_forecast
weather-data,weather-data_weather_airquality
weather-data,weather-data_weather_alerts
weather-data,weather-data_weather_astronomy
weather-data,weather-data_weather_current
weather-data,weather-data_weather_forecast
weather-data,weather-data_weather_history
weather-data,weather-data_weather_search
weather-data,weather-data_weather_sports
weather-data,weather-data_weather_timezone
whois,whois_whois_as
whois,whois_whois_domain
whois,whois_whois_ip
whois,whois_whois_tld
wikipedia,wikipedia_extract_key_facts
wikipedia,wikipedia_get_article
wikipedia,wikipedia_get_links
wikipedia,wikipedia_get_related_topics
wikipedia,wikipedia_get_sections
wikipedia,wikipedia_get_summary
wikipedia,wikipedia_search_wikipedia
wikipedia,wikipedia_summarize_article_for_query
wikipedia,wikipedia_summarize_article_section
